Status,           Sample ID       ,Sample Volume (ml),Internal standard volume (ul),Calculated Conc,Sample Conc
U,156,2,40,605.614,60.56136151
U,93,2,40,585.932,58.59315052
U,15,2,20,580.676,29.03382287
U,110,2,40,569.391,56.93913416
U,17,2,20,415.776,20.78879669
U,89,2,40,408.76,40.87598628
U,178,0.8,40,402.419,100.6046572
U,204,2,40,376.233,37.62327584
U,180,2,40,320.272,32.02715867
U,105,2,40,319.616,31.96155365
U,266,2,40,259.72,25.97197891
U,107,2,40,248.382,24.83816993
U,103,2,40,221.075,22.10747643
U,181,2,40,212.297,21.22973799
U,273,2,40,198.185,19.8185366
U,170,2,40,194.224,19.42235081
U,137,2,40,193.562,19.35623769
U,106,2,40,193.216,19.32162103
U,63,2,40,191.422,19.14218115
U,102,2,40,187.14,18.71398021
U,290,2,40,164.841,16.48412764
U,55,2,40,162.118,16.21175166
U,67,2,40,159.558,15.95575882
U,267,2,40,154.648,15.46484398
U,122,2,40,146.079,14.60790719
U,6,2,20,144.798,7.239878758
U,46,2,40,137.162,13.71621071
U,265,2,40,131.881,13.18812391
U,5,2,20,131.669,6.58346777
U,220,2,40,131.634,13.16341572
U,236,2,40,126.169,12.61686226
U,44,2,40,123.052,12.30517642
U,272,2,40,119.752,11.97521693
U,296,2,40,110.725,11.07252289
U,298,2,40,108.146,10.81464918
U,278,2,40,105.367,10.5367184
R,68,1,40,105.207,21.04145541
U,146,2,40,103.976,10.39761723
U,14,2,20,100.914,5.04572047
U,112,2,40,100.006,10.00059519
U,53,2,40,98.657,9.865668138
U,104,0.8,40,97.444,24.36110813
U,123,2,40,97.061,9.706059426
U,90,2,40,96.051,9.605100034
U,159,2,40,95.246,9.524643893
U,221,2,40,91.794,9.17935627
U,138,2,40,88.584,8.858378214
U,113,2,40,86.502,8.650179053
U,140,2,40,86.356,8.635576071
U,315,2,40,80.752,8.075201037
U,9,2,20,80.455,4.022759579
U,205,2,40,80.409,8.040922323
U,126,2,40,79.317,7.931657374
U,62,2,40,73.115,7.311467817
U,61,2,40,72.403,7.240285568
U,149,2,40,72.267,7.226666333
U,13,2,20,71.932,3.596579641
U,51,2,40,68.238,6.823752252
U,328,2,40,68.023,6.802290812
U,210,2,40,67.146,6.714602461
R,237,1,40,64.588,12.91768537
U,257,2,40,62.686,6.268618589
U,187,2,40,62.257,6.225667516
U,217,2,40,61.752,6.17522284
U,218,2,40,61.233,6.123257771
U,150,2,40,59.915,5.991496792
U,34,2,40,59.61,5.960973532
U,200,2,40,57.983,5.798349737
U,108,2,40,56.551,5.655050317
U,151,2,40,55.92,5.591962548
U,132,2,40,55.774,5.577370454
U,270,2,40,55.306,5.530642361
U,36,2,40,52.124,5.212439497
U,193,2,40,49.765,4.976459009
U,129,2,40,45.219,4.521875787
U,33,2,40,43.207,4.320720265
U,127,2,40,43.021,4.302124843
U,37,2,40,42.29,4.229031359
U,117,2,40,42.287,4.22868783
U,215,2,40,41.682,4.168232779
U,259,2,40,39.545,3.954462709
U,228,2,40,38.493,3.849287796
U,316,2,40,38.069,3.806933839
U,294,2,40,37.291,3.729070183
U,317,2,40,36.579,3.657887072
U,23,2,40,36.271,3.62706444
U,64,2,40,35.594,3.559416915
U,4,2,20,35.418,1.770895446
U,28,2,40,35.178,3.517780055
U,269,2,40,34.862,3.486208724
U,224,2,40,34.149,3.414883862
U,327,2,40,33.905,3.390501998
U,75,2,40,33.804,3.38043197
U,38,2,40,33.454,3.34540832
U,21,2,40,33,3.299993787
U,57,2,40,32.928,3.292784603
U,119,2,40,32.679,3.267917588
R,70,1,40,32.341,6.468206853
U,243,2,40,31.924,3.192376398
U,155,2,40,31.909,3.190882978
U,45,2,40,31.845,3.184549542
U,71,2,40,30.763,3.076342269
U,74,2,40,30.532,3.05319961
U,32,2,40,30.489,3.048894051
U,83,2,40,30.428,3.04276627
U,164,2,40,28.674,2.867359108
U,247,2,40,28.328,2.832777857
U,297,2,40,28.309,2.830889097
U,230,2,40,28.158,2.815843868
U,190,2,40,28.15,2.815047998
U,189,2,40,27.866,2.786557996
U,304,2,40,27.599,2.759945528
U,154,2,40,27.551,2.75511375
